,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,81054,+46,3261.0,6.0,72440.0,5353,1845.0,56.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
1,Italy,53578,"+6,557",4825.0,793.0,6072.0,42681,2857.0,886.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
2,Spain,25496,"+3,925",1381.0,288.0,2125.0,21990,1612.0,545.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
3,USA,24207,"+4,824",302.0,46.0,176.0,23729,637.0,73.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
4,Germany,22364,"+2,516",84.0,16.0,209.0,22071,2.0,267.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
5,Iran,20610,+966,1556.0,123.0,7635.0,11419,,245.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
6,France,14459,"+1,847",562.0,112.0,1587.0,12310,1525.0,222.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
7,S. Korea,8799,+147,102.0,8.0,2612.0,6085,59.0,172.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
8,Switzerland,6863,"+1,248",80.0,24.0,131.0,6652,141.0,793.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
9,UK,5018,"+1,035",233.0,56.0,93.0,4692,20.0,74.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
10,Netherlands,3631,+637,136.0,30.0,2.0,3493,354.0,212.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
11,Austria,2992,+343,8.0,2.0,9.0,2975,15.0,332.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
12,Belgium,2815,+558,67.0,30.0,263.0,2485,288.0,243.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
13,Norway,2164,+205,7.0,,6.0,2151,28.0,399.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
14,Sweden,1770,+131,20.0,4.0,16.0,1734,71.0,175.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
15,Canada,1328,+241,19.0,7.0,14.0,1295,1.0,35.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
16,Denmark,1326,+71,13.0,4.0,1.0,1312,42.0,229.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
17,Portugal,1280,+260,12.0,6.0,5.0,1263,26.0,126.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
18,Malaysia,1183,+153,8.0,5.0,114.0,1061,26.0,37.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
19,Brazil,1178,+208,18.0,7.0,2.0,1158,18.0,6.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
20,Australia,1072,+144,7.0,,46.0,1019,2.0,42.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
21,Japan,1054,+47,36.0,1.0,215.0,803,55.0,8.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
22,Czechia,995,+162,,,6.0,989,7.0,93.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
23,Turkey,947,+277,21.0,12.0,,926,,11.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
24,Israel,883,+178,1.0,,36.0,846,15.0,102.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
25,Ireland,785,+102,3.0,,5.0,777,13.0,159.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
26,Diamond Princess,712,,8.0,,567.0,137,15.0,,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
27,Luxembourg,670,+186,8.0,3.0,6.0,656,3.0,1070.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
28,Pakistan,645,+144,3.0,,13.0,629,,3.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
29,Chile,537,+103,1.0,1.0,8.0,528,7.0,28.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
30,Poland,536,+111,5.0,,13.0,518,3.0,14.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
31,Ecuador,532,+106,7.0,,3.0,522,2.0,30.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
32,Greece,530,+35,13.0,3.0,19.0,498,18.0,51.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
33,Finland,523,+73,1.0,1.0,10.0,512,2.0,94.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
34,Qatar,481,+11,,,27.0,454,6.0,167.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
35,Iceland,473,+64,1.0,1.0,5.0,467,1.0,1386.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
36,Indonesia,450,+81,38.0,6.0,20.0,392,,2.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
37,Singapore,432,+47,2.0,2.0,140.0,290,14.0,74.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
38,Thailand,411,+89,1.0,,44.0,366,7.0,6.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
39,Saudi Arabia,392,+48,,,16.0,376,,11.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
40,Slovenia,383,+42,1.0,,,382,12.0,184.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
41,Romania,367,+59,,,52.0,315,14.0,19.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
42,India,332,+83,5.0,,23.0,304,,0.2,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
43,Peru,318,+55,5.0,1.0,1.0,312,5.0,10.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
44,Bahrain,310,+12,1.0,,125.0,184,4.0,182.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
45,Philippines,307,+77,19.0,1.0,13.0,275,1.0,3.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
46,Russia,306,+53,1.0,,16.0,289,,2.0,https://web.archive.org/web/20200322/https://www.worldometers.info/coronavirus/,2020-03-22
