,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,ref,date
0,China,81439,+45,3300.0,+5,75448.0,2691,742.0,57.0,2.0,Jan 10,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
1,USA,143491,"+19,913",2583.0,+363,4559.0,136349,2970.0,434.0,8.0,Jan 20,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
2,Italy,97689,"+5,217",10779.0,+756,13030.0,73880,3906.0,1616.0,178.0,Jan 29,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
3,Spain,80110,"+6,875",6803.0,+821,14709.0,58598,4165.0,1713.0,146.0,Jan 30,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
4,Germany,62435,"+4,740",541.0,+108,9211.0,52683,1979.0,745.0,6.0,Jan 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
5,France,40174,"+2,599",2606.0,+292,7202.0,30366,4632.0,615.0,40.0,Jan 23,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
6,Iran,38309,"+2,901",2640.0,+123,12391.0,23278,3206.0,456.0,31.0,Feb 18,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
7,UK,19522,"+2,433",1228.0,+209,135.0,18159,163.0,288.0,18.0,Jan 30,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
8,Switzerland,14829,+753,300.0,+36,1595.0,12934,301.0,1713.0,35.0,Feb 24,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
9,Netherlands,10866,"+1,104",771.0,+132,250.0,9845,972.0,634.0,45.0,Feb 26,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
10,Belgium,10836,"+1,702",431.0,+78,1359.0,9046,867.0,935.0,37.0,Feb 03,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
11,S. Korea,9583,+105,152.0,+8,5033.0,4398,59.0,187.0,3.0,Jan 19,https://web.archive.org/web/20200330/https://www.worldometers.info/coronavirus/,2020-03-30
