Country,StringencyIndex,date,I
Belgium,19.0,2020-03-09,238.0
Belgium,29.0,2020-03-10,266.0
Belgium,29.0,2020-03-11,310.0
Belgium,29.0,2020-03-12,395.0
Belgium,38.0,2020-03-13,555.0
Belgium,62.0,2020-03-14,684.0
Belgium,62.0,2020-03-15,881.0
Belgium,62.0,2020-03-16,1047.0
Belgium,62.0,2020-03-17,1219.0
Belgium,86.0,2020-03-18,1219.0
Belgium,86.0,2020-03-19,1441.0
Belgium,86.0,2020-03-20,1609.0
Belgium,86.0,2020-03-21,2016.0
Belgium,86.0,2020-03-22,2485.0
Belgium,86.0,2020-03-23,3063.0
Belgium,86.0,2020-03-24,3254.0
Belgium,86.0,2020-03-25,3686.0
Belgium,86.0,2020-03-26,4212.0
Belgium,86.0,2020-03-27,5340.0
Belgium,86.0,2020-03-28,6137.0
Belgium,86.0,2020-03-29,7718.0
Belgium,86.0,2020-03-30,9046.0
Belgium,71.0,2020-03-31,9859.0
Belgium,,2020-04-01,10374.0
Belgium,,2020-04-02,11004.0
Belgium,,2020-04-03,11842.0
Belgium,,2020-04-04,12755.0
Belgium,,2020-04-05,13901.0
Belgium,,2020-04-06,14493.0
Belgium,,2020-04-07,15196.0
Belgium,,2020-04-08,16002.0
Belgium,,2020-04-09,16482.0
Cambodia,,2020-02-10,0.0
Cambodia,,2020-02-11,0.0
Cambodia,,2020-02-12,0.0
Cambodia,,2020-02-13,0.0
Cambodia,,2020-02-14,0.0
Cambodia,,2020-02-15,0.0
Cambodia,,2020-02-16,0.0
Cambodia,,2020-02-17,0.0
Cambodia,,2020-02-18,0.0
Cambodia,,2020-02-19,0.0
Cambodia,,2020-02-20,0.0
Cambodia,,2020-02-21,0.0
Cambodia,,2020-02-22,0.0
Cambodia,,2020-02-23,0.0
Cambodia,,2020-02-24,0.0
Cambodia,,2020-02-25,0.0
Cambodia,,2020-02-26,0.0
Cambodia,,2020-02-27,0.0
Cambodia,,2020-02-28,0.0
Cambodia,,2020-02-29,0.0
Cambodia,,2020-03-01,0.0
Cambodia,,2020-03-02,0.0
Cambodia,,2020-03-03,0.0
Cambodia,,2020-03-04,0.0
Cambodia,,2020-03-05,0.0
Cambodia,,2020-03-06,0.0
Cambodia,,2020-03-07,1.0
Cambodia,,2020-03-08,1.0
Cambodia,,2020-03-09,1.0
Cambodia,,2020-03-10,2.0
Cambodia,,2020-03-11,2.0
Cambodia,,2020-03-12,4.0
Cambodia,,2020-03-13,6.0
Cambodia,,2020-03-14,6.0
Cambodia,,2020-03-15,11.0
Cambodia,,2020-03-16,11.0
Cambodia,,2020-03-17,32.0
Cambodia,,2020-03-18,32.0
Cambodia,,2020-03-19,36.0
Cambodia,,2020-03-20,36.0
Cambodia,,2020-03-21,50.0
Cambodia,,2020-03-22,51.0
Cambodia,,2020-03-23,82.0
Cambodia,,2020-03-24,85.0
Cambodia,,2020-03-25,87.0
Cambodia,,2020-03-26,86.0
Cambodia,,2020-03-27,88.0
Cambodia,,2020-03-28,88.0
Cambodia,,2020-03-29,86.0
Cambodia,,2020-03-30,82.0
Cambodia,,2020-03-31,86.0
Cambodia,,2020-04-01,86.0
Cambodia,,2020-04-02,84.0
Cambodia,,2020-04-03,76.0
Cambodia,,2020-04-04,79.0
Cambodia,,2020-04-05,64.0
Cambodia,,2020-04-06,64.0
Cambodia,,2020-04-07,61.0
Cambodia,,2020-04-08,57.0
Cambodia,,2020-04-09,54.0
Sri lanka,29.0,2020-02-10,0.0
Sri lanka,29.0,2020-02-11,0.0
Sri lanka,29.0,2020-02-12,0.0
Sri lanka,29.0,2020-02-13,0.0
Sri lanka,29.0,2020-02-14,0.0
Sri lanka,29.0,2020-02-15,0.0
Sri lanka,29.0,2020-02-16,0.0
Sri lanka,29.0,2020-02-17,0.0
Sri lanka,29.0,2020-02-18,0.0
Sri lanka,29.0,2020-02-19,0.0
Sri lanka,29.0,2020-02-20,0.0
Sri lanka,29.0,2020-02-21,0.0
Sri lanka,29.0,2020-02-22,0.0
Sri lanka,29.0,2020-02-23,0.0
Sri lanka,33.0,2020-02-24,0.0
Sri lanka,33.0,2020-02-25,0.0
Sri lanka,33.0,2020-02-26,0.0
Sri lanka,33.0,2020-02-27,0.0
Sri lanka,33.0,2020-02-28,0.0
Sri lanka,33.0,2020-02-29,0.0
Sri lanka,33.0,2020-03-01,0.0
Sri lanka,33.0,2020-03-02,0.0
Sri lanka,33.0,2020-03-03,0.0
Sri lanka,33.0,2020-03-04,0.0
Sri lanka,33.0,2020-03-05,0.0
Sri lanka,33.0,2020-03-06,0.0
Sri lanka,33.0,2020-03-07,0.0
Sri lanka,33.0,2020-03-08,0.0
Sri lanka,33.0,2020-03-09,0.0
Sri lanka,33.0,2020-03-10,0.0
Sri lanka,33.0,2020-03-11,1.0
Sri lanka,33.0,2020-03-12,2.0
Sri lanka,48.0,2020-03-13,5.0
Sri lanka,62.0,2020-03-14,9.0
Sri lanka,62.0,2020-03-15,17.0
Sri lanka,76.0,2020-03-16,27.0
Sri lanka,76.0,2020-03-17,43.0
Sri lanka,76.0,2020-03-18,43.0
Sri lanka,76.0,2020-03-19,48.0
Sri lanka,76.0,2020-03-20,57.0
Sri lanka,81.0,2020-03-21,70.0
Sri lanka,81.0,2020-03-22,74.0
Sri lanka,76.0,2020-03-23,79.0
Sri lanka,81.0,2020-03-24,95.0
Sri lanka,90.0,2020-03-25,100.0
Sri lanka,90.0,2020-03-26,99.0
Sri lanka,81.0,2020-03-27,99.0
Sri lanka,81.0,2020-03-28,99.0
Sri lanka,90.0,2020-03-29,103.0
Sri lanka,90.0,2020-03-30,105.0
Sri lanka,90.0,2020-03-31,105.0
Sri lanka,,2020-04-01,124.0
Sri lanka,,2020-04-02,122.0
Sri lanka,,2020-04-03,126.0
Sri lanka,,2020-04-04,131.0
Sri lanka,,2020-04-05,134.0
Sri lanka,,2020-04-06,138.0
Sri lanka,,2020-04-07,135.0
Sri lanka,,2020-04-08,137.0
Sri lanka,,2020-04-09,138.0
Sweden,0.0,2020-02-10,0.0
Sweden,0.0,2020-02-11,0.0
Sweden,0.0,2020-02-12,0.0
Sweden,0.0,2020-02-13,0.0
Sweden,0.0,2020-02-14,0.0
Sweden,0.0,2020-02-15,0.0
Sweden,0.0,2020-02-16,0.0
Sweden,0.0,2020-02-17,0.0
Sweden,0.0,2020-02-18,0.0
Sweden,0.0,2020-02-19,0.0
Sweden,0.0,2020-02-20,0.0
Sweden,0.0,2020-02-21,0.0
Sweden,0.0,2020-02-22,0.0
Sweden,0.0,2020-02-23,0.0
Sweden,0.0,2020-02-24,0.0
Sweden,0.0,2020-02-25,0.0
Sweden,0.0,2020-02-26,0.0
Sweden,0.0,2020-02-27,0.0
Sweden,0.0,2020-02-28,11.0
Sweden,0.0,2020-02-29,12.0
Sweden,0.0,2020-03-01,14.0
Sweden,0.0,2020-03-02,15.0
Sweden,0.0,2020-03-03,29.0
Sweden,0.0,2020-03-04,51.0
Sweden,0.0,2020-03-05,93.0
Sweden,0.0,2020-03-06,136.0
Sweden,0.0,2020-03-07,160.0
Sweden,0.0,2020-03-08,202.0
Sweden,14.0,2020-03-09,260.0
Sweden,14.0,2020-03-10,354.0
Sweden,14.0,2020-03-11,498.0
Sweden,29.0,2020-03-12,685.0
Sweden,29.0,2020-03-13,812.0
Sweden,29.0,2020-03-14,958.0
Sweden,29.0,2020-03-15,1036.0
Sweden,29.0,2020-03-16,1113.0
Sweden,29.0,2020-03-17,1187.0
Sweden,29.0,2020-03-18,1187.0
Sweden,43.0,2020-03-19,1276.0
Sweden,43.0,2020-03-20,1412.0
Sweden,43.0,2020-03-21,1607.0
Sweden,29.0,2020-03-22,1734.0
Sweden,29.0,2020-03-23,1897.0
Sweden,29.0,2020-03-24,2003.0
Sweden,29.0,2020-03-25,2243.0
Sweden,29.0,2020-03-26,2448.0
Sweden,,2020-03-27,2747.0
Sweden,,2020-03-28,2948.0
Sweden,,2020-03-29,3326.0
Sweden,,2020-03-30,3574.0
Sweden,,2020-03-31,3866.0
Sweden,,2020-04-01,4239.0
Sweden,,2020-04-02,4605.0
Sweden,,2020-04-03,5157.0
Sweden,,2020-04-04,5568.0
Sweden,,2020-04-05,5865.0
Sweden,,2020-04-06,6224.0
Sweden,,2020-04-07,6524.0
Sweden,,2020-04-08,6897.0
Sweden,,2020-04-09,7527.0
Nepal,,2020-02-10,0.0
Nepal,,2020-02-11,0.0
Nepal,,2020-02-12,0.0
Nepal,,2020-02-13,0.0
Nepal,,2020-02-14,0.0
Nepal,,2020-02-15,0.0
Nepal,,2020-02-16,0.0
Nepal,,2020-02-17,0.0
Nepal,,2020-02-18,0.0
Nepal,,2020-02-19,0.0
Nepal,,2020-02-20,0.0
Nepal,,2020-02-21,0.0
Nepal,,2020-02-22,0.0
Nepal,,2020-02-23,0.0
Nepal,,2020-02-24,0.0
Nepal,,2020-02-25,0.0
Nepal,,2020-02-26,0.0
Nepal,,2020-02-27,0.0
Nepal,,2020-02-28,0.0
Nepal,,2020-02-29,0.0
Nepal,,2020-03-01,0.0
Nepal,,2020-03-02,0.0
Nepal,,2020-03-03,0.0
Nepal,,2020-03-04,0.0
Nepal,,2020-03-05,0.0
Nepal,,2020-03-06,0.0
Nepal,,2020-03-07,0.0
Nepal,,2020-03-08,0.0
Nepal,,2020-03-09,0.0
Nepal,,2020-03-10,0.0
Nepal,,2020-03-11,0.0
Nepal,,2020-03-12,0.0
Nepal,,2020-03-13,0.0
Nepal,,2020-03-14,0.0
Nepal,,2020-03-15,0.0
Nepal,,2020-03-16,0.0
Nepal,,2020-03-17,0.0
Nepal,,2020-03-18,0.0
Nepal,,2020-03-19,0.0
Nepal,,2020-03-20,0.0
Nepal,,2020-03-21,0.0
Nepal,,2020-03-22,0.0
Nepal,,2020-03-23,0.0
Nepal,,2020-03-24,1.0
Nepal,,2020-03-25,1.0
Nepal,,2020-03-26,2.0
Nepal,,2020-03-27,2.0
Nepal,,2020-03-28,3.0
Nepal,,2020-03-29,4.0
Nepal,,2020-03-30,4.0
Nepal,,2020-03-31,4.0
Nepal,,2020-04-01,4.0
Nepal,,2020-04-02,4.0
Nepal,,2020-04-03,5.0
Nepal,,2020-04-04,5.0
Nepal,,2020-04-05,8.0
Nepal,,2020-04-06,8.0
Nepal,,2020-04-07,8.0
Nepal,,2020-04-08,8.0
Nepal,,2020-04-09,8.0
Finland,0.0,2020-02-10,0.0
Finland,0.0,2020-02-11,0.0
Finland,0.0,2020-02-12,0.0
Finland,0.0,2020-02-13,0.0
Finland,0.0,2020-02-14,0.0
Finland,0.0,2020-02-15,0.0
Finland,0.0,2020-02-16,0.0
Finland,0.0,2020-02-17,0.0
Finland,0.0,2020-02-18,0.0
Finland,0.0,2020-02-19,0.0
Finland,0.0,2020-02-20,0.0
Finland,0.0,2020-02-21,0.0
Finland,0.0,2020-02-22,0.0
Finland,0.0,2020-02-23,0.0
Finland,0.0,2020-02-24,0.0
Finland,0.0,2020-02-25,0.0
Finland,0.0,2020-02-26,0.0
Finland,0.0,2020-02-27,0.0
Finland,0.0,2020-02-28,2.0
Finland,0.0,2020-02-29,2.0
Finland,0.0,2020-03-01,5.0
Finland,0.0,2020-03-02,5.0
Finland,0.0,2020-03-03,6.0
Finland,14.0,2020-03-04,6.0
Finland,14.0,2020-03-05,11.0
Finland,14.0,2020-03-06,14.0
Finland,14.0,2020-03-07,18.0
Finland,14.0,2020-03-08,24.0
Finland,14.0,2020-03-09,32.0
Finland,14.0,2020-03-10,39.0
Finland,14.0,2020-03-11,58.0
Finland,33.0,2020-03-12,108.0
Finland,33.0,2020-03-13,154.0
Finland,33.0,2020-03-14,215.0
Finland,33.0,2020-03-15,234.0
Finland,43.0,2020-03-16,268.0
Finland,43.0,2020-03-17,312.0
Finland,62.0,2020-03-18,312.0
Finland,71.0,2020-03-19,349.0
Finland,71.0,2020-03-20,390.0
Finland,,2020-03-21,440.0
Finland,,2020-03-22,512.0
Finland,29.0,2020-03-23,615.0
Finland,,2020-03-24,689.0
Finland,,2020-03-25,781.0
Finland,,2020-03-26,867.0
Finland,,2020-03-27,943.0
Finland,,2020-03-28,1024.0
Finland,,2020-03-29,1148.0
Finland,,2020-03-30,1219.0
Finland,,2020-03-31,1329.0
Finland,,2020-04-01,1391.0
Finland,,2020-04-02,1419.0
Finland,,2020-04-03,1199.0
Finland,,2020-04-04,1295.0
Finland,,2020-04-05,1557.0
Finland,,2020-04-06,1599.0
Finland,,2020-04-07,1849.0
Finland,,2020-04-08,1974.0
Finland,,2020-04-09,2147.0
Spain,14.0,2020-02-10,0.0
Spain,14.0,2020-02-11,0.0
Spain,14.0,2020-02-12,0.0
Spain,14.0,2020-02-13,0.0
Spain,14.0,2020-02-14,0.0
Spain,14.0,2020-02-15,0.0
Spain,14.0,2020-02-16,0.0
Spain,14.0,2020-02-17,0.0
Spain,14.0,2020-02-18,0.0
Spain,14.0,2020-02-19,0.0
Spain,14.0,2020-02-20,0.0
Spain,14.0,2020-02-21,0.0
Spain,14.0,2020-02-22,0.0
Spain,14.0,2020-02-23,0.0
Spain,14.0,2020-02-24,0.0
Spain,7.0,2020-02-25,0.0
Spain,14.0,2020-02-26,0.0
Spain,14.0,2020-02-27,0.0
Spain,14.0,2020-02-28,31.0
Spain,14.0,2020-02-29,56.0
Spain,14.0,2020-03-01,82.0
Spain,14.0,2020-03-02,118.0
Spain,14.0,2020-03-03,162.0
Spain,14.0,2020-03-04,224.0
Spain,14.0,2020-03-05,276.0
Spain,14.0,2020-03-06,387.0
Spain,14.0,2020-03-07,463.0
Spain,14.0,2020-03-08,625.0
Spain,38.0,2020-03-09,1169.0
Spain,62.0,2020-03-10,1524.0
Spain,62.0,2020-03-11,2039.0
Spain,62.0,2020-03-12,2871.0
Spain,62.0,2020-03-13,4906.0
Spain,76.0,2020-03-14,5679.0
Spain,86.0,2020-03-15,7036.0
Spain,90.0,2020-03-16,9070.0
Spain,90.0,2020-03-17,10265.0
Spain,90.0,2020-03-18,10265.0
Spain,90.0,2020-03-19,13050.0
Spain,90.0,2020-03-20,16139.0
Spain,90.0,2020-03-21,18890.0
Spain,90.0,2020-03-22,21990.0
Spain,90.0,2020-03-23,24421.0
Spain,90.0,2020-03-24,29470.0
Spain,90.0,2020-03-25,35273.0
Spain,90.0,2020-03-26,40501.0
Spain,90.0,2020-03-27,46406.0
Spain,90.0,2020-03-28,51224.0
Spain,90.0,2020-03-29,54968.0
Spain,90.0,2020-03-30,58598.0
Spain,,2020-03-31,63460.0
Spain,,2020-04-01,68200.0
Spain,,2020-04-02,72084.0
Spain,,2020-04-03,74974.0
Spain,,2020-04-04,77488.0
Spain,,2020-04-05,80002.0
Spain,,2020-04-06,80925.0
Spain,,2020-04-07,82897.0
Spain,,2020-04-08,84689.0
Spain,,2020-04-09,85407.0
Russia,14.0,2020-02-10,0.0
Russia,14.0,2020-02-11,0.0
Russia,14.0,2020-02-12,0.0
Russia,14.0,2020-02-13,0.0
Russia,14.0,2020-02-14,0.0
Russia,14.0,2020-02-15,0.0
Russia,14.0,2020-02-16,0.0
Russia,14.0,2020-02-17,0.0
Russia,14.0,2020-02-18,0.0
Russia,14.0,2020-02-19,0.0
Russia,14.0,2020-02-20,0.0
Russia,14.0,2020-02-21,0.0
Russia,14.0,2020-02-22,0.0
Russia,14.0,2020-02-23,0.0
Russia,14.0,2020-02-24,0.0
Russia,14.0,2020-02-25,0.0
Russia,14.0,2020-02-26,0.0
Russia,14.0,2020-02-27,0.0
Russia,14.0,2020-02-28,0.0
Russia,14.0,2020-02-29,0.0
Russia,14.0,2020-03-01,0.0
Russia,14.0,2020-03-02,1.0
Russia,14.0,2020-03-03,1.0
Russia,14.0,2020-03-04,1.0
Russia,29.0,2020-03-05,2.0
Russia,29.0,2020-03-06,11.0
Russia,29.0,2020-03-07,12.0
Russia,29.0,2020-03-08,14.0
Russia,29.0,2020-03-09,17.0
Russia,29.0,2020-03-10,17.0
Russia,29.0,2020-03-11,17.0
Russia,29.0,2020-03-12,31.0
Russia,38.0,2020-03-13,37.0
Russia,38.0,2020-03-14,51.0
Russia,38.0,2020-03-15,55.0
Russia,57.0,2020-03-16,85.0
Russia,57.0,2020-03-17,106.0
Russia,57.0,2020-03-18,106.0
Russia,57.0,2020-03-19,139.0
Russia,57.0,2020-03-20,190.0
Russia,62.0,2020-03-21,240.0
Russia,62.0,2020-03-22,289.0
Russia,67.0,2020-03-23,350.0
Russia,67.0,2020-03-24,420.0
Russia,24.0,2020-03-25,472.0
Russia,,2020-03-26,626.0
Russia,,2020-03-27,799.0
Russia,,2020-03-28,987.0
Russia,,2020-03-29,1211.0
Russia,,2020-03-30,1462.0
Russia,,2020-03-31,1761.0
Russia,,2020-04-01,2199.0
Russia,,2020-04-02,2563.0
Russia,,2020-04-03,3283.0
Russia,,2020-04-04,3834.0
Russia,,2020-04-05,4355.0
Russia,,2020-04-06,4989.0
Russia,,2020-04-07,5890.0
Russia,,2020-04-08,6945.0
Russia,,2020-04-09,8029.0
India,21.0,2020-02-10,0.0
India,21.0,2020-02-11,0.0
India,21.0,2020-02-12,0.0
India,21.0,2020-02-13,0.0
India,21.0,2020-02-14,0.0
India,21.0,2020-02-15,0.0
India,21.0,2020-02-16,0.0
India,21.0,2020-02-17,0.0
India,21.0,2020-02-18,0.0
India,21.0,2020-02-19,0.0
India,21.0,2020-02-20,0.0
India,29.0,2020-02-21,0.0
India,29.0,2020-02-22,0.0
India,29.0,2020-02-23,0.0
India,29.0,2020-02-24,0.0
India,29.0,2020-02-25,0.0
India,29.0,2020-02-26,0.0
India,29.0,2020-02-27,0.0
India,29.0,2020-02-28,0.0
India,29.0,2020-02-29,0.0
India,29.0,2020-03-01,0.0
India,29.0,2020-03-02,3.0
India,38.0,2020-03-03,3.0
India,38.0,2020-03-04,26.0
India,48.0,2020-03-05,27.0
India,48.0,2020-03-06,28.0
India,48.0,2020-03-07,31.0
India,48.0,2020-03-08,40.0
India,48.0,2020-03-09,43.0
India,48.0,2020-03-10,58.0
India,48.0,2020-03-11,58.0
India,48.0,2020-03-12,69.0
India,48.0,2020-03-13,70.0
India,48.0,2020-03-14,85.0
India,48.0,2020-03-15,97.0
India,57.0,2020-03-16,114.0
India,57.0,2020-03-17,126.0
India,62.0,2020-03-18,126.0
India,71.0,2020-03-19,152.0
India,81.0,2020-03-20,170.0
India,81.0,2020-03-21,221.0
India,95.0,2020-03-22,304.0
India,86.0,2020-03-23,365.0
India,86.0,2020-03-24,455.0
India,100.0,2020-03-25,486.0
India,100.0,2020-03-26,602.0
India,100.0,2020-03-27,662.0
India,100.0,2020-03-28,794.0
India,100.0,2020-03-29,879.0
India,100.0,2020-03-30,902.0
India,100.0,2020-03-31,1117.0
India,,2020-04-01,1239.0
India,,2020-04-02,1792.0
India,,2020-04-03,2280.0
India,,2020-04-04,2781.0
India,,2020-04-05,3260.0
India,,2020-04-06,3843.0
India,,2020-04-07,4267.0
India,,2020-04-08,4723.0
India,,2020-04-09,5232.0
Philippines,,2020-02-10,0.0
Philippines,,2020-02-11,0.0
Philippines,,2020-02-12,0.0
Philippines,,2020-02-13,0.0
Philippines,,2020-02-14,0.0
Philippines,,2020-02-15,0.0
Philippines,,2020-02-16,0.0
Philippines,,2020-02-17,0.0
Philippines,,2020-02-18,0.0
Philippines,,2020-02-19,0.0
Philippines,,2020-02-20,0.0
Philippines,,2020-02-21,0.0
Philippines,,2020-02-22,0.0
Philippines,,2020-02-23,0.0
Philippines,,2020-02-24,0.0
Philippines,,2020-02-25,0.0
Philippines,,2020-02-26,0.0
Philippines,,2020-02-27,0.0
Philippines,,2020-02-28,0.0
Philippines,,2020-02-29,0.0
Philippines,,2020-03-01,0.0
Philippines,,2020-03-02,0.0
Philippines,,2020-03-03,0.0
Philippines,,2020-03-04,0.0
Philippines,,2020-03-05,0.0
Philippines,,2020-03-06,2.0
Philippines,,2020-03-07,3.0
Philippines,,2020-03-08,7.0
Philippines,,2020-03-09,21.0
Philippines,,2020-03-10,30.0
Philippines,,2020-03-11,45.0
Philippines,,2020-03-12,48.0
Philippines,,2020-03-13,57.0
Philippines,,2020-03-14,101.0
Philippines,,2020-03-15,126.0
Philippines,,2020-03-16,125.0
Philippines,,2020-03-17,170.0
Philippines,,2020-03-18,169.0
Philippines,,2020-03-19,178.0
Philippines,,2020-03-20,192.0
Philippines,,2020-03-21,204.0
Philippines,,2020-03-22,275.0
Philippines,,2020-03-23,340.0
Philippines,,2020-03-24,411.0
Philippines,,2020-03-25,497.0
Philippines,,2020-03-26,572.0
Philippines,,2020-03-27,634.0
Philippines,,2020-03-28,718.0
Philippines,,2020-03-29,972.0
Philippines,,2020-03-30,1305.0
Philippines,,2020-03-31,1426.0
Philippines,,2020-04-01,1947.0
Philippines,,2020-04-02,2165.0
Philippines,,2020-04-03,2475.0
Philippines,,2020-04-04,2830.0
Philippines,,2020-04-05,2893.0
Philippines,,2020-04-06,3030.0
Philippines,,2020-04-07,3424.0
Philippines,,2020-04-08,3503.0
Philippines,,2020-04-09,3592.0
Canada,5.0,2020-02-10,0.0
Canada,5.0,2020-02-11,0.0
Canada,5.0,2020-02-12,0.0
Canada,5.0,2020-02-13,0.0
Canada,5.0,2020-02-14,0.0
Canada,5.0,2020-02-15,0.0
Canada,5.0,2020-02-16,0.0
Canada,5.0,2020-02-17,0.0
Canada,5.0,2020-02-18,0.0
Canada,5.0,2020-02-19,0.0
Canada,5.0,2020-02-20,0.0
Canada,5.0,2020-02-21,0.0
Canada,5.0,2020-02-22,0.0
Canada,5.0,2020-02-23,0.0
Canada,5.0,2020-02-24,0.0
Canada,5.0,2020-02-25,0.0
Canada,5.0,2020-02-26,0.0
Canada,5.0,2020-02-27,0.0
Canada,5.0,2020-02-28,12.0
Canada,5.0,2020-02-29,12.0
Canada,5.0,2020-03-01,20.0
Canada,5.0,2020-03-02,20.0
Canada,5.0,2020-03-03,23.0
Canada,5.0,2020-03-04,26.0
Canada,5.0,2020-03-05,29.0
Canada,5.0,2020-03-06,44.0
Canada,5.0,2020-03-07,52.0
Canada,5.0,2020-03-08,56.0
Canada,5.0,2020-03-09,68.0
Canada,5.0,2020-03-10,85.0
Canada,5.0,2020-03-11,99.0
Canada,33.0,2020-03-12,130.0
Canada,33.0,2020-03-13,186.0
Canada,33.0,2020-03-14,235.0
Canada,33.0,2020-03-15,329.0
Canada,33.0,2020-03-16,426.0
Canada,33.0,2020-03-17,578.0
Canada,57.0,2020-03-18,578.0
Canada,57.0,2020-03-19,706.0
Canada,57.0,2020-03-20,850.0
Canada,57.0,2020-03-21,1061.0
Canada,57.0,2020-03-22,1295.0
Canada,57.0,2020-03-23,1436.0
Canada,67.0,2020-03-24,1747.0
Canada,67.0,2020-03-25,2654.0
Canada,67.0,2020-03-26,3188.0
Canada,67.0,2020-03-27,3776.0
Canada,67.0,2020-03-28,4348.0
Canada,67.0,2020-03-29,5199.0
Canada,67.0,2020-03-30,5682.0
Canada,,2020-03-31,6266.0
Canada,,2020-04-01,7269.0
Canada,,2020-04-02,7881.0
Canada,,2020-04-03,9131.0
Canada,,2020-04-04,9981.0
Canada,,2020-04-05,11086.0
Canada,,2020-04-06,12290.0
Canada,,2020-04-07,12728.0
Canada,,2020-04-08,13488.0
Canada,,2020-04-09,14463.0
Macao,71.0,2020-02-10,0.0
Macao,71.0,2020-02-11,0.0
Macao,71.0,2020-02-12,0.0
Macao,71.0,2020-02-13,0.0
Macao,71.0,2020-02-14,0.0
Macao,71.0,2020-02-15,0.0
Macao,71.0,2020-02-16,0.0
Macao,76.0,2020-02-17,0.0
Macao,76.0,2020-02-18,0.0
Macao,76.0,2020-02-19,0.0
Macao,62.0,2020-02-20,0.0
Macao,62.0,2020-02-21,0.0
Macao,62.0,2020-02-22,0.0
Macao,62.0,2020-02-23,0.0
Macao,62.0,2020-02-24,0.0
Macao,62.0,2020-02-25,0.0
Macao,62.0,2020-02-26,0.0
Macao,62.0,2020-02-27,0.0
Macao,62.0,2020-02-28,4.0
Macao,62.0,2020-02-29,4.0
Macao,62.0,2020-03-01,4.0
Macao,62.0,2020-03-02,4.0
Macao,62.0,2020-03-03,1.0
Macao,62.0,2020-03-04,1.0
Macao,62.0,2020-03-05,1.0
Macao,62.0,2020-03-06,1.0
Macao,62.0,2020-03-07,0.0
Macao,62.0,2020-03-08,0.0
Macao,62.0,2020-03-09,0.0
